Skipped videos:  0
1780
Skipped videos:  0
258
Epoch 5 Val - Loc Loss: 3.8776 | Cls Loss: 3.8252 | Tot Loss: 3.8514 | Acc: 17.44% | F1: 0.1225

Best model saved at epoch 5 with Acc: 17.44%, F1: 0.1225

  [Batch 10/594] Loss: 3.6978 | Cls: 3.6710 | Loc: 3.7246
  [Batch 20/594] Loss: 4.1388 | Cls: 4.1167 | Loc: 4.1609
  [Batch 30/594] Loss: 4.1550 | Cls: 4.1315 | Loc: 4.1785
  [Batch 40/594] Loss: 3.7772 | Cls: 3.7505 | Loc: 3.8039
  [Batch 50/594] Loss: 3.9456 | Cls: 3.9252 | Loc: 3.9660
  [Batch 60/594] Loss: 3.8329 | Cls: 3.7921 | Loc: 3.8737
  [Batch 70/594] Loss: 3.9168 | Cls: 3.8927 | Loc: 3.9409
  [Batch 80/594] Loss: 3.9102 | Cls: 3.8775 | Loc: 3.9428
  [Batch 90/594] Loss: 3.4695 | Cls: 3.4356 | Loc: 3.5035
  [Batch 100/594] Loss: 4.0928 | Cls: 4.0661 | Loc: 4.1194
  [Batch 110/594] Loss: 3.2681 | Cls: 3.2359 | Loc: 3.3002
  [Batch 120/594] Loss: 3.5888 | Cls: 3.5560 | Loc: 3.6217
